Nº de série,Valor de Compra,Data de Compra
MT270,105000.0,2021-03-24
MT273,90000.0,2021-04-30
MT274,105000.0,2021-03-17
MT275,426300.0,2021-05-19
MT276,105000.0,2021-05-28
MT277,426300.0,2021-07-14
MT278,426300.0,2021-08-24
MT279,426300.0,2021-08-09
MT280,105000.0,2021-09-01
MT281,426300.0,2021-09-21
MT282,426300.0,2021-10-13
MT283,426300.0,2021-10-19
MT284,426300.0,2021-10-29
MT285,426300.0,2021-10-29
MT286,426300.0,2021-11-25
MT287,426300.0,2021-11-25
MT288,426300.0,2021-11-04
MT289,426300.0,2021-11-25
MT290,426300.0,2021-11-25
MT291,426300.0,2021-11-25
MT292,426300.0,2021-11-30
MT293,426300.0,2021-11-30
MT294,426300.0,2021-11-30
MT295,426300.0,2021-11-30
MT296,426300.0,2021-12-27
MT297,426300.0,2021-12-27
MT298,426300.0,2021-12-28
MT299,426300.0,2021-12-30
MT300,426300.0,2021-12-28
MT301,545000.0,2022-05-02
MT302,545000.0,2022-05-09
MT303,545000.0,2022-05-23
MT304,105000.0,2022-05-31
MT305,545000.0,2022-05-31
MT306,545000.0,2022-05-31
MT307,545000.0,2022-06-14
MT308,545000.0,2022-06-28
MT309,545000.0,2022-06-28
MT310,545000.0,2022-06-28
MT311,545000.0,2022-08-10
MT312,545000.0,2022-08-10
MT313,545000.0,2022-08-08
MT314,545000.0,2022-08-08
MT315,545000.0,2022-08-31
MT316,545000.0,2022-08-31
MT317,545000.0,2022-08-15
MT318,545000.0,2022-08-15
MT319,545000.0,2022-09-21
MT320,545000.0,2022-09-21
MT321,545000.0,2022-08-15
MT322,545000.0,2022-08-15
MT323,545000.0,2022-10-13
MT324,545000.0,2022-09-30
MT325,545000.0,2022-12-14
MT326,545000.0,2022-12-14
MT327,545000.0,2022-12-14
MT328,545000.0,2023-02-01
MT329,545000.0,2023-02-02
MT330,545000.0,2023-02-07
MT331,545000.0,2023-02-07
MT332,545000.0,2022-12-30
MT333,545000.0,2022-12-30
MT334,545000.0,2022-11-30
MT335,545000.0,2022-11-30
MT336,545000.0,2022-12-30
MT337,545000.0,2022-12-30
MT338,545000.0,2023-03-08
MT339,545000.0,2023-03-08
MT340,545000.0,2023-04-06
MT341,545000.0,2023-04-06
MT342,472871.55,2023-09-13
MT343,472871.55,2023-09-13
MT344,466450.0,2023-09-20
MT345,462840.0,2023-09-29
MT346,466450.0,2023-09-29
MT347,550000.0,2023-10-04
MT348,600000.0,2023-10-04
MT349,458985.0,2023-10-06
MT350,590000.0,2023-09-29
MT351,318000.0,2023-10-18
MT352,318000.0,2023-10-19
MT353,318000.0,2023-10-20
MT354,477826.0,2023-10-20
MT355,318000.0,2023-10-11
MT356,318000.0,2023-10-11
MT357,318000.0,2023-10-26
MT358,318000.0,2023-10-26
MT359,318000.0,2023-10-26
MT360,318000.0,2023-10-26
MT361,318000.0,2023-10-26
MT362,590000.0,2023-11-08
MT363,590000.0,2023-11-30
MT364,590000.0,2023-11-30
MT365,590000.0,2023-11-30
MT366,466315.0,2023-11-22
MT367,590000.0,2023-11-30
MT368,590000.0,2023-11-30
MT369,467347.0,2023-12-08
MT370,467347.0,2023-12-08
MT371,590000.0,2023-11-30
MT372,590000.0,2023-11-30
MT373,590000.0,2023-12-21
MT374,590000.0,2023-11-30
MT375,590000.0,2023-12-20
MT376,590000.0,2023-11-30
MT377,590000.0,2023-11-30
MT378,590000.0,2023-12-21
MT379,590000.0,2023-12-21
MT380,590000.0,2023-12-21
MT381,590000.0,2023-12-20
MT382,590000.0,2023-12-21
MT383,590000.0,2024-01-04
MT384,590000.0,2024-03-05
MT385,590000.0,2024-03-05
MT386,590000.0,2024-03-05
MT387,590000.0,2024-03-05
MT388,590000.0,2024-03-05
MT389,590000.0,2024-03-14
MT390,590000.0,2024-03-14
MT391,590000.0,2024-03-14
MT392,590000.0,2024-03-14
MT393,590000.0,2024-03-14
MT394,590000.0,2024-03-14
MT395,590000.0,2024-03-14
MT396,590000.0,2024-03-14
MT397,590000.0,2024-03-14
MT398,590000.0,2024-03-14
MT399,470000.0,2024-05-31
MT400,470000.0,2024-05-31
MT401,535000.0,2024-05-29
MT402,500000.0,2024-05-29
MT403,590000.0,2024-05-29
MT404,774390.0,2024-04-25
MT405,500000.0,2024-06-28
MT406,590000.0,2024-06-28
MT407,300000.0,2024-06-28
MT408,348276.0,2024-06-28
MT409,521647.0,2024-07-24
MT410,521647.0,2024-07-24
MT411,170000.0,2025-01-31
MT412,326056.52,2025-05-05
MT413,538572.5,2025-05-05
MT414,698691.5,2025-05-15
MT415,885240.96,2025-07-31
MT416,885240.96,2025-07-31
MT417,512899.2,2026-01-27
MT418,512899.2,2026-01-27
MT419,512069.0,2025-12-02
MT420,512069.0,2025-12-02
MT421,823146.72,2026-03-16
MT422,823146.72,2026-03-16
MT423,823146.72,2026-03-16
MT424,823146.72,2026-03-16
MT425,299900.0,2026-07-29
PA001,76140.0,2012-06-27
PA003,81216.0,2012-06-27
PA005,32490.0,2012-06-26
PA007,32490.0,2012-07-31
PA008,27360.0,2011-07-31
PA009,27360.0,2017-07-31
PA010,81216.0,2012-07-31
PA011,81216.0,2012-07-31
PA012,81216.0,2012-07-31
PA013,76140.0,2012-07-13
PA014,76140.0,2012-07-31
PA015,76140.0,2012-07-31
PA017,76140.0,2012-08-31
PA018,76140.0,2012-08-31
PA019,27360.0,2012-08-31
PA020,81216.0,2008-01-01
PA021,76140.0,2012-11-19
PA022,27360.0,2012-11-19
PA023,27360.0,2012-11-19
PA024,27360.0,2012-11-19
PA025,32490.0,2012-11-19
PA026,32490.0,2012-11-19
PA027,76140.0,2012-11-19
PA029,220360.0,2013-09-20
PA030,220360.0,2013-09-20
PA031,227260.0,2013-03-25
PA032,227260.0,2013-11-25
PA033,333359.0,2013-11-25
PA034,83000.0,2013-11-29
PA035,83000.0,2013-12-03
PA036,222099.11,2013-12-23
PA038,222099.11,2013-12-23
PA040,83000.0,2014-01-31
PA041,83000.0,2014-01-31
PA042,359727.25,2014-03-14
PA043,359727.25,2014-03-14
PA044,359727.25,2014-03-14
PA045,83000.0,2014-03-31
PA046,83000.0,2014-03-31
PA047,83000.0,2014-03-31
PA048,318427.44,2014-04-29
PA050,83000.0,2014-07-14
PA051,83000.0,2014-07-14
PA052,138681.6,2014-09-04
PA053,138681.6,2014-09-04
PA054,138681.6,2014-09-04
PA055,138681.6,2014-09-04
PA057,65000.0,2014-11-18
PA059,57500.0,2008-01-01
PA060,57500.0,2009-01-01
PA061,65000.0,2008-01-01
PA062,51000.0,2011-01-01
PA063,81216.0,2008-01-01
PA064,57500.0,2008-01-01
PA065,348840.0,2018-03-14
PA066,57500.0,2009-01-01
PA067,120857.5,
PA068,71400.0,2023-04-17
PA069,56100.0,2023-04-26
PA070,71400.0,2023-04-25
PA071,56100.0,2023-04-24
PA072,56100.0,2023-04-26
PA073,56100.0,2023-04-26
PA074,56100.0,2023-04-26
PA075,71400.0,2023-04-27
PA076,71400.0,2023-04-27
PA077,71400.0,2023-04-26
PA078,56100.0,2023-04-27
PA079,71400.0,2023-04-25
PA080,56100.0,2023-04-24
PA081,71400.0,2023-04-26
PA082,71400.0,2023-04-27
PA083,56100.0,2023-04-27
PA084,71400.0,2023-04-28
PA085,56100.0,2023-04-28
PA086,56100.0,2023-06-16
PA087,60350.0,2022-02-20
PA088,71400.0,2023-06-16
PA089,75650.0,2023-06-27
PA090,126650.0,2023-06-27
PA091,96687.5,2023-07-19
PA093,49980.0,2023-11-29
PA094,39270.01,2023-11-29
PA095,39270.01,2023-11-29
PA096,39270.01,2023-11-29
PA097,39270.01,2023-11-29
PA098,39270.01,2023-11-29
PA099,49980.0,2023-11-29
PA100,49980.0,2023-11-29
PA101,49980.0,2023-11-29
PA102,49980.0,2023-11-29
PA103,88655.0,2023-11-29
PA104,88655.0,2023-11-23
PA105,88655.0,2023-11-23
PA106,39270.01,2023-11-30
PA107,39270.01,2023-12-07
PA108,39270.01,2023-11-29
PA109,39270.01,2023-11-29
PA110,39270.01,2023-11-30
PA111,39270.01,2023-11-29
PA112,88655.0,2023-11-29
PA113,88655.0,2023-11-29
PA114,88655.0,2023-11-29
PA115,88655.0,2023-11-29
PA116,52955.0,2023-12-21
PA117,39270.01,2023-11-30
PA118,39270.01,2023-11-30
PA119,52955.0,2023-12-21
PA120,39270.01,2023-12-26
PA121,52955.0,2023-12-26
PA122,52955.0,2023-12-26
PA123,52955.0,2023-12-26
PA124,52955.0,2023-12-26
PA125,39270.01,2023-12-26
PA126,39270.01,2023-12-26
PA127,39270.01,2023-12-26
PA128,39270.01,2023-12-26
PA129,39270.01,2023-12-26
PA130,39270.01,2023-12-26
PA131,39270.01,2023-12-26
PA132,39270.01,2023-12-26
PA133,52955.0,2023-12-26
PA134,52955.0,2023-12-26
PA135,88655.0,2024-12-26
PA136,88655.0,2023-12-26
PA137,88655.0,2023-12-26
PA138,88655.0,2023-12-26
PA139,88655.0,2023-12-26
PA140,42245.0,2023-12-26
PA141,52955.0,2023-12-26
PA142,52955.0,2023-12-26
PA143,87500.0,2024-05-02
